date	empire	kingdom	phylum	class	order	family	genus	species	size	unit	analysis	biomass	biomass_w
1976-01-14	eukaryota									ug/l	biomass only	3.57	1.92191226689637
1976-01-14	eukaryota								(>4 um)	ug/l	biomass only	16.3428571428571	9.67655639132895
1976-01-14	eukaryota	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	sp		ug/l	all	17.1	11.2050425318382
1976-01-14	eukaryota	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	sp		ug/l	all	45.2857142857143	29.6108559415981
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Cocconeidaceae	Cocconeis	sp		ug/l	all	0.114285714285714	0.0388653460589077
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia	sp		ug/l	all	0.228571428571429	0.111953132395627
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Centrales				small	ug/l	biomass only	2.65714285714286	1.46550557111874
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella	sp		ug/l	all	0.114285714285714	0.095903009209318
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Asterionella	formosa		ug/l	all	2.37142857142857	1.33919964623448
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Diatoma	tenuis		ug/l	all	0.471428571428571	0.277761852830942
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Diatoma	vulgaris		ug/l	all	0.157142857142857	0.082856625778164
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria	crotonensis		ug/l	all	9.42857142857143	3.11341054695746
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Ulnaria	delicatissima var. angustissima		ug/l	all	0.892857142857143	0.538713118879566
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Tabellariales	Tabellariaceae	Tabellaria	fenestrata		ug/l	all	2.67857142857143	1.41232884849143
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora	sp		ug/l	all	0.114285714285714	0.0157563047422146
1976-01-14	eukaryota	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Stephanodiscaceae	Stephanodiscus	sp		ug/l	all	2.78571428571429	1.5019097372432
1976-01-14	eukaryota	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Dinobryaceae	Dinobryon	sp		ug/l	all	0.114285714285714	0.0672402649724597
1976-01-14	eukaryota	Plantae	Charophyta	Conjugatophyceae	Desmidiales	Closteriaceae	Closterium	aciculare		ug/l	all	0.621428571428571	0.581728642913277
1976-01-14	eukaryota	Plantae	Charophyta	Conjugatophyceae	Desmidiales	Closteriaceae	Closterium	sp		ug/l	all	1.65714285714286	1.06010928967164
1976-01-14	eukaryota	Plantae	Charophyta	Conjugatophyceae	Desmidiales	Desmidiaceae	Staurastrum	sp		ug/l	all	3.57142857142857	2.69041963677304
1976-01-14	eukaryota	Plantae	Charophyta	Conjugatophyceae	Zygnematales	Zygnemataceae	Mougeotia	sp		ug/l	all	2.72857142857143	2.62758445912971
1976-01-14	eukaryota	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Chariaceae	Ankyra	sp		ug/l	all	0.0714285714285714	0.0599393807558238
1976-01-14	eukaryota	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Hydrodictyaceae	Pediastrum	sp		ug/l	all	1.5	0.753429672615934
1976-01-14	eukaryota	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Hydrodictyaceae	Tetraedron	minimum		ug/l	all	0.0142857142857143	0.0084230222042641
1976-01-14	eukaryota	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmus	sp		ug/l	all	0.142857142857143	0.0840503312155746
1976-01-14	eukaryota	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	sp		ug/l	all	0.0857142857142857	0.0739246966538653
1976-01-14	eukaryota	Plantae	Chlorophyta	Chlorophyceae	Volvocales	Phacotaceae	Phacotus	lenticularis		ug/l	all	0.114285714285714	0.0414477308091665
1976-01-14	eukaryota	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Dictyosphaerium	sp		ug/l	all	23.5714285714286	15.1796186967283
1976-01-14	eukaryota	Plantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Oocystaceae	Oocystis	sp	(>5 um)	ug/l	all	1.92857142857143	1.55024044821348
1976-01-14	eukaryota	Plantae	Chlorophyta	Ulvophyceae	Ulotrichales	Ulotrichaceae	Ulothrix	sp		ug/l	all	3.05714285714286	2.46163500625933
1976-01-14	eukaryota	Protozoa	Dinophyta	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	helveticum		ug/l	all	9.42857142857143	5.80777031568527
1976-01-14	eukaryota	Protozoa	Dinophyta	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	sp		ug/l	all	0.8	0.43625642252068
