"","x"
"Cyclopoida",0.685975957800492
"Cyclops sp",1.12555520349519
"Bosmina longirostris",1.48807660142527
"Diaptomus sp",0.913518803360355
"Daphnia longispina",2.03747232268899
"Diplostraca",1.30048812891203
"Daphnia hyalina",2.21982063888924
"Bosmina sp",2.79777019809036
"Cyclops abyssorum",1.36369203726787
"Eudiaptomus gracilis",0.89439865594097
"Dreissena polymorpha",2.32810304274555
"Mesocyclops sp",2.3719525043438
"Mesocyclops leuckarti",3.07183018593641
"Daphnia cucullata",3.56342745875948
"Daphnia sp",4.52169770715972
"Diaphanosoma brachyurum",9.7397284309555
"Asplanchna sp",9.54745582967684
"Daphnia galeata",3.98570664466847
"Cyclops bohater",1.85643130204449
"Cyclops vicinus",3.00744206510433
"Leptodora kindtii",2.7348415038612
"Conochilus sp",18
"Bythotrephes longimanus",1.8551510407817
"Branchiopoda",15.0631445653617
"Daphniidae",15.0631445653617
"Diacyclops sp",9.8395478962802
"Nematodes",4.60789305954728
"Eudiaptomus sp",18
"Ceriodaphnia sp",8.00109335805931
"Cyclops strenuus",13.9525536604828
"Daphnia pulex",10.7671967155092
"Alona sp",4.11603918922246
"Chaoborus crystallinus",4.10859512420654
"Ceriodaphnia reticulata",6.34876477869259
"Acanthocyclops",17.6434994341373
"Canthocamptus staphylinus",8.7956144110705
"Megacyclops sp",12.9874106240917
"Ostracoda sp3",8.81295706928844
"Nematodes bohater",3.07867664697541
"Acari",7.84560919475861
"Tardigrada",9.16062450448271
