"","x"
"Aphanizomenon flosaquae",3.12089374595059
"Cryptomonas",1.06236007841729
"Aulacoseira granulata",1.46254099082481
"Synedra delicatissima",3.55191053532713
"Planktothrix agardhii",4.6269675039203
"Fragilaria crotonensis",2.99265575573543
"Microcystis",4.74999091674622
"Diatoma tenuis",3.23817540600548
"Asterionella formosa",1.82908206349162
"Aulacoseira",7.4013301517595
"Aphanizomenon",6.59046035751858
"Rhodomonas",1.14495342701095
"Chrysococcus",8.11153568110005
"Synedra acus",2.98987858761766
"Chlamydomonas",4.4488405590973
"Chrysochromulina",2.45121843123109
"Cyanobacteriales",6.18399172516822
"Microcystis aeruginosa",5.71953804654312
"Ceratium hirundinella",4.42658495857736
"Nitzschia acicularis",5.34328168768405
"Limnothrix redekei",4.23749189703501
"Ceratium furcoides",5.64150637773325
"Dolichospermum crassum",6.93834372165338
"Kolkwitziella acuta",2.73197421581058
"Peridinium",2.25448475481625
"Anabaena",4.19705438133893
"Limnothrix",5.42168388682737
"Rhodomonas lens",2.29317386821474
"Bacillaria ulna",8.53059820896439
"Aphanizomenon gracile",4.00296702915644
"Melosira varians",8.0642885416328
"Anabaena circinalis",6.55121834023907
"Pseudanabaena",4.62076950717606
"Synura",6.42898964692371
"Microcystis wesenbergii",4.52116455970888
"Dolichospermum smithii",7.90378720052276
"Pediastrum duplex",4.32231612767687
"Fragilaria",3.9243038254817
"Pandorina morum",5.74786017111172
"Cuspidothrix issatschenkoi",4.6361560064319
"Gymnodinium",3.6039263405729
"Tetraselmis",2.97002983113942
"Pseudopediastrum boryanum",4.32627329617374
"Skeletonema",3.14526768391962
"Anabaenopsis elenkinii",10.4484420675652
"Mougeotia",6.91749473642454
"Dinobryon",3.20913725915638
"Nitzschia",9.2516969672065
"Peridinium aciculiferum",5.84043611578439
"Dolichospermum lemmermannii",9.08137786692108
"Chroomonas",4.41868065820356
"Scenedesmus",5.69777967923326
"Desmodesmus armatus",2.90696033305691
"Scenedesmus quadricauda",3.52792113997202
"Anabaena compacta",12.1388784702629
"Phacotus lenticularis",5.80094779967909
"Anabaena spiroides",10.8725629078744
"Oocystis sp",3.95259228430139
"Mallomonas",4.61349449907006
"Nitzschia fonticola",6.32175940616902
"Closterium limneticum",6.10741824173133
"Coelastrum microporum",4.45380268450287
"Dolichospermum affine",13.5251029542595
"Dictyosphaerium",5.2261674765024
"Kephyrion",2.01462233818772
"Diatoma vulgaris",7.54352022033403
"Binuclearia lauterbornii",7.99691418183979
"Gyrodinium helveticum",6.05478976377114
"Limnothrix planctonica",10.6677927731714
"Volvox",15.8745078663875
"Pseudanabaena mucicola",3.3184451167875
"Pteromonas angulosa",7.45881599332585
"Dinobryon divergens",6.58088770299889
"Pteromonas",8.68699809701993
"Koliella",2.28267988986462
"Diatoma",10.9965286662327
"Desmodesmus opoliensis",5.32169503224276
"Microcystis novacekii",9.83572380118652
"Desmodesmus communis",3.75178465390932
"Ankyra",3.06177944309282
"Tetrastrum staurogeniiforme",3.16665857212351
"Trachelomonas",9.13758137727346
"Nitzschia fruticosa",8.89420723261351
"Ankyra lanceolata",6.69824482638405
"Microcystis flos-aquae",12.8747370445187
"Tetradesmus lagerheimii",5.38412607859018
"Phacotus",8.27068483771794
"Uroglena",10.6890869837249
"Coelastrum astroideum",6.13420646463512
"Monoraphidium",6.27557085225644
"Radiococcus polycoccus",14.2403248765483
"Dolichospermum solitarium",9.6010001116632
"Monoraphidium contortum",3.60685496598028
"Fragilaria capucina",14.2948501161764
"Tribonema",8.33217298021296
"Willea apiculata",9.70033110120831
"Actinastrum hantzschii",8.03584009803137
"Dinobryon sociale",10.6540836335482
"Tabellaria",10.0927724754109
"Microcystis viridis",15.4985417160864
"Pseudokephyrion",13.4988237276775
"Planktosphaeria gelatinosa",8.67733280235615
"Pediastrum",7.1331338558573
"Carteria",12.4340935701035
