"","x"
"Codonella cratera",2.25616916124102
"Keratella cochlearis",1.50978508579515
"Tintinnidium fluviatile",2.67709553941482
"Cyclopoida",1.00035916614316
"Polyarthra",2.40832565623151
"Copepoda",1.38235127730256
"Keratella quadrata",1.64940080377777
"Pompholyx sulcata",2.09943783364733
"Dreissena polymorpha",2.49489314589835
"Synchaeta oblonga",2.54717763264393
"Peritrichia",3.12716385049209
"Polyarthra dolichoptera",2.87329970098364
"Coleps hirtus",3.9848782551443
"Difflugia",3.34590136835685
"Trichocerca similis",3.39504741346497
"Daphnia",1.82905820993725
"Conochilus unicornis",3.46382402686999
"Vorticella",4.09146040575312
"Cephalodella",3.39973953869031
"Synchaeta stylata",3.80981752851004
"Trichocerca pusilla",3.60473419678342
"Calanoida",1.33094236581689
"Brachionus angularis",4.42773004513642
"Bosmina coregoni",4.15958841727116
"Chydorus sphaericus",4.50184038396165
"Polyarthra sp1",3.25121750011589
"Rotifera",2.64297231778076
"Epistylis procumbens",6.04089949159115
"Asplanchna priodonta",2.51656055557369
"Trichocerca",4.14967010440239
"Eubosmina longicornis",3.12604233583021
"Kellicottia longispina",3.09240788399364
"Bosmina longirostris",4.15126341168548
"Polyarthra vulgaris",5.08487868780179
"Synchaeta pectinata",3.56559018835651
"Daphnia cucullata",2.48879748002332
"Zoothamnium",6.26748284422325
"Synchaeta",4.25324811041709
"Brachionus diversicornis",7.15270618553318
"Eubosmina",2.58755914594712
"Brachionus calyciflorus",3.65524656165007
"Polyarthra sp3",10.8832501193501
"Ciliophora",5.20755530947004
"Ascomorpha saltans",3.89906081282183
"Daphnia galeata",3.21633343088933
"Collotheca",3.8244517628076
"Mesocyclops leuckarti",2.62597443461989
"Euchlanis dilatata",4.33791673885099
"Polyarthra remata",7.88606878017521
"Filinia longiseta",7.51746010501832
"Tintinnopsis",7.90965583273668
"Trichocerca capucina",4.56066747833761
"Bosmina",7.3648444498832
"Cyclops kolensis",2.98097562014587
"Anuraeopsis fissa",5.58964935706871
"Thermocyclops oithonoides",6.01571229668477
"Eudiaptomus graciloides",1.96162631289717
"Acanthocyclops robustus",3.53783767168447
"Polyarthra sp2",15.5743386989575
"Conochilus natans",5.69636342346614
"Epistylis digitalis",8.4533692247376
"Asplanchna",8.42915688904657
"Diaphanosoma brachyurum",3.16493192770797
"Trichocerca stylata",7.31762716128219
"Filinia terminalis",8.82901893838303
"Daphnia longispina",5.01677367222169
