"sigma_env2/r","mu","sigma_int2","r","beta1","e_sigma_env2/r","e_mu","e_sigma_int2","e_r","e_beta1","MWSS"
0.0574139295024868,-4.62987050171631,0.000179355459622049,85584140796.4962,-1.21509856346591e-11,0.0139618700147651,0.781561704554687,0.00562304827023283,8380702056.4155,8.87076865517336e-12,3.43223953094868
0.049512610005092,-9.39231736606767,0.00181110127446816,132387315200.246,-7.62360146275170e-12,0.0103884359041685,0.933110739782869,0.0410991102987273,10843551917.6576,5.72258328105463e-12,3.71800118501896
0.0596024447412773,-9.55492882448251,0.000905132593871694,121516726438.192,-8.54192047493253e-12,0.0162025350769648,0.768901493259472,0.0203682122858186,8424744868.07719,4.73213214220098e-12,2.90869357561069
0.0571711111133668,-11.0336361663413,0.000211427980651958,126121814117.064,-8.33146776815177e-12,0.0151422412635988,0.786364823135339,0.00668593979950199,7954746293.96499,4.58767989121069e-12,2.86834635128815
0.0691861372372439,-13.0244338978818,0.00256631232109579,136846159027.356,-7.91028004144308e-12,0.0169843856051401,0.844859358734527,0.0506048776761147,8510655227.93812,4.60769124211919e-12,2.67003923018021
0.0820088409248977,-11.4196914380862,0.00360896044007309,114758999896.468,-9.20490453585223e-12,0.0187259415790965,0.707130106504989,0.0432015345158577,6888466679.69653,4.32400062022307e-12,2.53247896331457
0.0956749655998801,-9.65330236791239,0.00379293314043606,94284948087.7729,-1.1296088113424e-11,0.0180388737624241,0.574239207958922,0.057857295519181,5411123755.6873,4.20580553530255e-12,2.29370970915582
0.0946790515767861,-10.3084669352123,0.00385371960257599,94714933812.8635,-1.11972002190105e-11,0.0184034348061403,0.588509849524533,0.0518362073601334,5222136835.7494,4.08988400202356e-12,2.32860308594456
0.114683549519579,-8.72185940955979,0.0388886520943491,79179043211.2903,-1.37010329118665e-11,0.0255579234019469,0.526250696999203,0.21682678507971,4336483536.68027,4.42037503681716e-12,2.12135958745272
0.109526833430621,-9.42472785873155,0.0291232919563742,80948948975.6506,-1.33634772060448e-11,0.0225312289110211,0.565180162173273,0.169161664807866,4161688690.36851,4.5373644598019e-12,2.16898511948888
0.108096647189849,-9.6846756692605,0.0117610372066418,79392840559.7691,-1.35481874938971e-11,0.0193973094372319,0.526911512482955,0.106599914157424,3862837528.22677,4.19121113873771e-12,2.14146003197715
0.121036035236105,-9.59812945003208,0.00129465143726838,76475485792.5588,-1.40278803155302e-11,0.0255683989993445,0.519948739181935,0.0207197515825008,3801847056.92092,4.1164809293035e-12,2.03011478688308
0.120460296888564,-9.97580204303718,0.0043532087179049,75743217466.4307,-1.40946463207527e-11,0.0249164683408868,0.505140935380317,0.0430160702162945,3565585095.19322,4.2391264814833e-12,2.05269701761266
0.118545802205082,-10.4432490225776,0.00294651339105,76111222577.0306,-1.4151632111026e-11,0.0237549107728208,0.51639128393962,0.0408065860812176,3568866997.6324,3.96144176523263e-12,2.0742354480939
0.116962630112628,-10.8656269806428,0.00100523124157775,75825137019.3837,-1.41010401349225e-11,0.0216661188507129,0.49893513184781,0.0230040828196606,3382865403.1449,3.91748467369201e-12,2.10762894800834
0.122515542420839,-11.2578315982902,0.00384602552732824,75634232097.524,-1.41949987340846e-11,0.0225994868842521,0.504289316959981,0.121622006055074,3419723492.5127,3.87090704213719e-12,2.05463301964713
0.121525777499568,-12.0112597369385,5.13620475848686e-05,77067141057.3714,-1.3888586028584e-11,0.0214765034163645,0.510562890705713,0.00103965050068858,3289091883.35061,3.74282971449773e-12,2.08077881606398
0.1191385136465,-12.9265340675175,0.00323245410139544,79211358943.5322,-1.34667193601114e-11,0.0217904363403025,0.52358936618357,0.0734535737709371,3340175496.20475,3.57975295001507e-12,2.10549056512136
0.123001580413509,-14.3013298694038,0.000887748968070199,84051651986.5834,-1.27840010709892e-11,0.0225432080108563,0.56555661463302,0.0280730872956592,3310971321.02288,3.74172415618323e-12,2.06255337728294
0.138860131122204,-14.6879358542289,0.00305616766548829,84414995603.979,-1.28800377700423e-11,0.0270423160388444,0.582536870078723,0.0679018508731146,3329696631.84851,3.64253817006045e-12,1.93723880474214
0.137727991926031,-15.1510694392058,0.00166995021509389,83935464855.9271,-1.28872568674072e-11,0.024506554535297,0.580888449080948,0.052808462587848,3380868727.91451,3.62264383331031e-12,1.94730714731203
0.148520975380105,-15.5098262546425,0.0116299444630738,83819684011.8524,-1.30222189125857e-11,0.0251665401737644,0.606971626397011,0.287330410031658,3163149459.31672,3.65623082093315e-12,1.85861255383199
0.147860837034816,-15.7296920824415,0.0223654112059688,82444421086.9622,-1.32761604714583e-11,0.0268904264453709,0.596035113901222,0.407166012772427,3198203923.18338,3.50436770769985e-12,1.86083390550383
0.162552945324701,-15.912211455589,0.00347683411344983,81847719639.4874,-1.34487201635286e-11,0.0307473042039381,0.632844551414392,0.0681201563306526,3238861693.42526,3.56393073993313e-12,1.75247042170872
0.177100572037059,-17.1771109403686,0,86881846359.886,-1.29890219060989e-11,0.0353388830293429,0.68457030497891,0,3342580647.53273,3.74000942881413e-12,1.70496569881306
0.1826457205187,-18.6268808783483,0,91209226206.8155,-1.24849593088555e-11,0.0343351617875291,0.722012047178984,0,3414968043.16585,3.56414028921831e-12,1.69819744155961
0.203798751728046,-19.7017762906671,0,95555653521.5757,-1.22586915590852e-11,0.0411021526815982,0.761306964285873,0,3802911940.41552,3.55973804328502e-12,1.62081427588583
0.201785950461236,-20.0657931154538,0,94360030639.0069,-1.23596544421627e-11,0.0402647012694367,0.77997282573331,0,3715467388.37879,3.56972402560319e-12,1.63055495040654
0.204957781121048,-21.3038996635408,0,97199936986.745,-1.20695471554263e-11,0.0361586194541445,0.775352297269527,0,3507771820.75441,3.69929357612999e-12,1.59952004762243
0.211652019389237,-23.6898399102188,0,105307810642.514,-1.13448615503803e-11,0.0395606230048853,0.870420432655383,0,3721939056.74989,3.53664451468648e-12,1.58435872037717
0.230387832482242,-24.3742075609944,0,107743635314.599,-1.13194230692788e-11,0.0449395945207524,0.918198150915088,0,3992026600.02709,3.60419400144272e-12,1.53731347977656
0.238349686333852,-26.7685593970606,0,115775903194.616,-1.07348449759001e-11,0.0450921537710632,0.963355246724143,0,4095111383.2064,3.4105223471412e-12,1.50778638653456
0.248341812966051,-27.2822236591592,0,116244809970.703,-1.07812612467006e-11,0.0410934925591146,0.996429529957448,0,4057836148.53901,3.4592097199467e-12,1.47649813442888
0.259820385101943,-27.7639960756801,0,116812325107.559,-1.08924488938739e-11,0.0417974565164867,1.00356626882271,0,4086837188.16157,3.56207621142807e-12,1.45072877347996
0.274256518229863,-30.278696405229,0,126097316563.867,-1.03067099933103e-11,0.0462492227229909,1.14429774896728,0,4574529219.72276,3.43967271920467e-12,1.43954965058108
0.287487388624838,-31.9270142191023,0,131924645913.59,-1.0144748371728e-11,0.046175297718617,1.14325953002323,0,4493478950.89474,3.53465602907938e-12,1.4017682384846
0.295409480223218,-37.4640603593448,0,151646841152.316,-9.09100068198837e-12,0.0425162788749634,1.3765757411869,0,5204041374.25898,3.54883269342222e-12,1.37861971792731
0.311688538667243,-36.1551461284874,0,146439792754.16,-9.5518977644324e-12,0.04272944908188,1.42299204642653,0,4980912312.82628,3.60268260472579e-12,1.37542696445228
0.319501852155869,-40.039030427432,0,159455483973.155,-8.91014777659334e-12,0.0390663162800725,1.54171389565217,0,5280564687.92446,3.66291468196917e-12,1.35102510422481
0.328175695645497,-37.6176893034411,0,148638827247.501,-9.57587533322672e-12,0.0409537404503148,1.47192844835618,0,4880195523.29875,3.63332508754223e-12,1.34113737020122
0.340307355181677,-37.061118172499,0,145601503783.747,-9.82561954851001e-12,0.0404547551164577,1.48163530117625,0,4702971406.48224,3.62553048910749e-12,1.32697974959864
0.35247154932722,-38.824091346995,0,151608127570.954,-9.60348677144139e-12,0.0397124866643609,1.62414904623976,0,5132111082.52157,3.68998092931223e-12,1.3016504421215
0.364276777156692,-37.8026181920189,0,147581694693.435,-1.00339393410802e-11,0.0421860801326162,1.51842508159003,0,4731476989.20223,3.54509836923497e-12,1.2936192674086
0.376561873152116,-37.7635576725272,0,146992275735.651,-1.01932753729948e-11,0.0432182976356004,1.60878594107855,0,4914281394.12266,3.7498552539012e-12,1.28271041072425
0.381584805724195,-38.4212064613653,0,147764025797.457,-1.02144163868844e-11,0.0435530026202484,1.63756474793957,0,4852615767.36489,3.6868092695122e-12,1.28151019400709
0.385167235335951,-40.2296332245765,0,152356979097.464,-1.00635551611135e-11,0.0395601883361086,1.72748174004724,0,4816402011.08395,3.84410609197824e-12,1.26959543601455
0.387813289699902,-43.4722694375531,0,161879193891.711,-9.57251888564688e-12,0.0390260809286833,1.78999339035417,0,4985493038.36849,3.45651349207332e-12,1.26302844861787
0.393907134916123,-45.1632955324128,0,166186899207.654,-9.43092001444696e-12,0.0380179341371922,1.82707748793846,0,5149690239.30493,3.62745372420898e-12,1.26455137583295
0.399208653490721,-47.0414507578985,0,171133656788.417,-9.29502454631357e-12,0.0390242206090688,1.91661210135867,0,5210595057.89826,3.45873055622276e-12,1.25317557424229
0.401999882070031,-48.0457600590757,0,172700817335.702,-9.35786830346282e-12,0.0375866561763461,1.92250797849562,0,5263226243.23008,3.74254618287297e-12,1.24777047250703
0.411613632377746,-46.5428930441085,0,167241296782.248,-9.75179464023086e-12,0.0344895565400638,1.95985354199336,0,4944574574.11724,3.53402135410649e-12,1.2360248730155
0.418141926888099,-49.7205101139675,0,176759945818.436,-9.33964449570815e-12,0.0329028415771764,2.04967451289075,0,5261665984.55083,3.70379302063221e-12,1.23395349014644
0.42526458813729,-46.2045671148474,0.00579723808943856,163742544034.18,-1.00515495670096e-11,0.0336528038742051,1.99997993275694,0.183324765009088,4850701653.01978,3.76237175676272e-12,1.22280638305441
0.427989950681421,-50.825099213105,0.000405988857395353,177414682488.041,-9.46815071833587e-12,0.0301862245863531,2.12075757183594,0.0128384949401861,5054149349.12416,3.83305923428358e-12,1.22141981771528
0.445419964728576,-46.0990269132162,0.193139492205186,163513060913.871,-1.03530301440778e-11,0.0309618276769896,2.08137785781254,2.93112806179579,4672569266.53675,3.70791854729313e-12,1.20578738753196
0.452244643048255,-45.246797733911,0.142202368817637,159732200659.836,-1.06481784307351e-11,0.0299814736136015,2.08898032963957,3.03653476618179,4849837319.87248,3.79723643108572e-12,1.19984632609276
0.456032648515938,-45.2719723509265,0.595145689337264,158339535115.826,-1.0779488149672e-11,0.0309287853083229,2.10466863978585,3.77649571094148,4465008814.14039,3.60984489656374e-12,1.1971648623698
